Card_ID	Ssn	Bname	Address	Phone
000001	850-47-3740	Mark Morgan	5677 Coolidge Street	4699041438
000002	256-95-4382	Eric Warren	9062 Schurz Drive	2147018127
000003	256-51-5268	Robert Harper	7786 Sachs Place	2148755911
000004	976-95-2914	Donna Franklin	3 Magdeline Terrace	2148006127
000005	906-63-3588	Linda King	41260 Kedzie Terrace	4692132549
000006	206-26-7141	Judy Holmes	6583 Manitowish Hill	9728985909
000007	898-61-3567	Deborah Lawrence	2 Hermina Trail	9729002951
000008	644-25-0492	Adam Johnston	05671 Norway Maple Court	4697430176
000009	678-12-4697	Pamela Carr	1848 Fordem Avenue	9722479852
000010	562-33-7951	Daniel Fisher	400 Cody Lane	2148917743
000011	441-90-7753	Stephen Fields	99 Fair Oaks Drive	2148013069
000012	305-53-3736	Walter Ferguson	814 Sutteridge Point	4699458172
000013	634-61-6311	Paul Cook	58295 Pierstorff Pass	4699320168
000014	661-24-6360	Roy Smith	563 Fairview Park	2149114724
000015	350-83-8412	Michelle Gardner	28309 Paget Court	4699742681
000016	439-75-5475	George Powell	31 Clove Crossing	9728857291
000017	431-61-5822	Nicholas Hudson	29 Esker Trail	4696984000
000018	879-82-7179	Linda Henderson	117 Katie Center	4699970832
000019	484-96-1826	Gregory Fowler	42454 Hermina Plaza	2149368301
000020	562-52-7080	Carol Sanders	99600 Moland Way	2147621061
000021	876-61-5170	Mark Hamilton	76425 Dixon Hill	9728027903
000022	139-71-1123	Anthony Brown	8691 Walton Terrace	9729473376
000023	239-16-6210	James Rivera	4 Golden Leaf Trail	2147618129
000024	283-06-7717	Tammy Cole	22 Atwood Parkway	4692921882
000025	371-60-9878	Donald Bowman	196 Golf View Terrace	2149566083
000026	438-78-7652	Susan Gomez	601 Warbler Point	9728771341
000027	893-37-1519	Juan Martin	846 Johnson Circle	2148285694
000028	434-92-5388	Samuel Bailey	1367 Northport Drive	9729722250
000029	444-50-9807	Paul White	24775 Melvin Place	4694594087
000030	557-41-0386	Gregory Clark	259 Porter Avenue	9729795771
000031	123-99-1439	Steven Wood	852 Darwin Alley	2149842801
000032	507-26-2481	Jessica Fuller	975 Carpenter Parkway	9729565055
000033	258-33-5117	Donna Greene	86 Delladonna Lane	4699696535
000034	876-94-4518	Edward Ford	34 Fulton Circle	2148691555
000035	153-20-8011	Steve Torres	781 Loeprich Alley	4699647789
000036	881-79-3670	Alice Rivera	79 Dayton Center	2148413416
000037	878-61-5560	Jessica Freeman	27997 Loftsgordon Lane	2148354205
000038	728-84-4113	Kenneth Harrison	25074 Holmberg Park	9727741504
000039	792-17-4540	Betty Austin	4 Schmedeman Terrace	9729277561
000040	433-05-3698	Irene Gonzalez	820 Oxford Crossing	2148655203
000041	132-21-3747	Charles Foster	850 Summerview Crossing	4699106688
000042	457-93-9804	Gregory Perez	57 Bluejay Pass	9724338549
000043	906-16-1095	Jose Stone	93 Waywood Parkway	9729918017
000044	882-36-6316	Patrick Moore	78 Crest Line Road	2149502446
000045	728-96-3473	Louis Lynch	12197 Kinsman Center	4698204208
000046	377-44-1238	Matthew Snyder	169 Mayfield Park	4698555018
000047	582-62-7069	Sara Wagner	24827 Twin Pines Junction	4699145869
000048	577-82-2947	Louise Long	6 Haas Center	2149390517
000049	216-53-6968	Judy Hamilton	65364 Mosinee Center	9728472849
000050	202-40-3427	Evelyn Young	4788 South Street	2148649776
000051	897-56-8517	James Moore	9089 Lunder Parkway	4698304056
000052	923-84-7867	Clarence Romero	68501 Michigan Street	9729821803
000053	539-63-0143	Jennifer Smith	3 Cordelia Terrace	4699635598
000054	636-25-1591	Jack Baker	01441 Eastlawn Place	9729091277
000055	622-93-5915	Amy Nguyen	79 Rigney Circle	2149052261
000056	823-00-8890	Maria Stevens	5348 David Point	9729925831
000057	534-07-7079	Teresa Carpenter	6280 Spenser Lane	9729082593
000058	203-68-8563	Roy Arnold	7548 Dunning Junction	2149909053
000059	457-75-1314	Randy Stewart	5004 Emmet Park	4694222991
000060	524-73-0400	Brenda Fernandez	335 Forster Alley	2149206944
000061	344-66-8375	Janet Thompson	1 Chinook Place	9729868081
000062	716-55-3314	Billy Ortiz	4 Hintze Court	4698081346
000063	869-29-5873	Edward Hawkins	96231 Northland Plaza	9727983752
000064	218-81-6261	Mark Morgan	5 Miller Lane	4697846546
000065	913-50-1956	Carolyn Morgan	975 Golf View Place	4696748726
000066	749-40-8693	Tina Weaver	5414 Green Ridge Street	4698400879
000067	992-92-6136	Eric Taylor	6 Fisk Pass	2147147652
000068	378-07-1662	Ruth Henry	84 Hermina Street	9729342054
000069	388-44-9990	Phillip Perkins	84771 Bartelt Trail	2149174226
000070	288-23-0361	Annie Welch	80 Stuart Road	9725161320
000071	509-44-1761	Lois Hunter	49 Blaine Lane	9728091141
000072	704-79-5907	Lisa Cook	4412 Lakewood Gardens Plaza	9726539871
000073	948-30-8402	Kathleen Harvey	13 Grayhawk Hill	4695477753
000074	651-57-6305	Diane Stevens	0091 American Circle	4699421364
000075	908-63-2676	Samuel Young	0157 Holmberg Street	4699185729
000076	727-25-3782	Mark Riley	4900 Thompson Court	9727672036
000077	775-32-5935	Bonnie Ross	0 Walton Court	9727666908
000078	402-35-0549	Elizabeth Arnold	952 Sage Pass	2149672424
000079	270-86-6950	John Walker	2 Packers Crossing	4697965094
000080	982-11-9636	William Simmons	1232 Hayes Crossing	9729037706
000081	757-38-5276	Lisa Kelley	3718 Twin Pines Way	9729000487
000082	980-24-2372	Carl Larson	096 Goodland Parkway	4695502228
000083	444-73-4007	Brandon Anderson	8 Leroy Circle	4699939270
000084	278-33-4174	Gloria Myers	03 Elmside Center	4698533967
000085	772-25-9640	Daniel Freeman	9584 Elka Place	9727699270
000086	232-98-4647	Judith Mitchell	2506 Merchant Terrace	9729029669
000087	937-38-5159	Alan King	958 Burrows Street	2145835636
000088	327-80-3166	Steve Phillips	45557 Jana Court	9729379620
